,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,price_per_sqft
24,329000,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,98030,47.3739,-122.17200000000001,2200,6865,134.28571428571428
25,233000,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,98002,47.3048,-122.21799999999999,1030,4705,136.25730994152048
27,667000,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,98112,47.6221,-122.314,1860,3861,476.42857142857144
28,438000,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,98115,47.695,-122.304,1520,6235,288.1578947368421
29,719000,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,98052,47.7073,-122.11,2630,6026,279.76653696498056
30,580500,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,98027,47.5391,-122.07,2580,3980,250.2155172413793
31,280000,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,98133,47.7274,-122.35700000000001,1390,1756,235.2941176470588
32,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,98117,47.6823,-122.368,1460,5000,295.06437768240346
33,535000,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,98117,47.6889,-122.375,1570,5080,490.8256880733945
34,322500,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,98058,47.4276,-122.15700000000001,2020,8720,156.55339805825244
35,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,98115,47.6827,-122.31,1590,3264,302.60869565217394
36,550000,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,98052,47.6621,-122.132,2160,11467,331.32530120481925
37,640000,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,98107,47.6702,-122.36200000000001,1730,4700,271.1864406779661
38,240000,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,98001,47.3341,-122.28200000000001,1290,7800,196.72131147540983
39,605000,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,98056,47.5301,-122.18,2620,11884,230.91603053435114
40,625000,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,98074,47.6145,-122.027,2470,5669,243.19066147859922
41,775000,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,98166,47.445,-122.34700000000001,2410,30617,183.64928909952607
42,861990,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,98053,47.6848,-122.016,3625,5639,239.77468706536857
43,685000,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,98119,47.6413,-122.36399999999999,1580,2640,436.30573248407643
44,309000,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,98058,47.4485,-122.175,1340,8808,241.40625
45,488000,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,98019,47.7443,-121.977,3050,9232,154.43037974683546
46,210490,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,98023,47.3066,-122.37100000000001,1228,8840,212.6161616161616
47,785000,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,98007,47.6194,-122.15100000000001,2680,13685,342.7947598253275
48,450000,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,98115,47.6796,-122.301,970,5100,360.0
50,228000,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,98148,47.4258,-122.322,1190,9364,191.5966386554622
51,345000,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,98056,47.4934,-122.189,1990,9133,109.52380952380952
52,600000,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,98117,47.6808,-122.384,1410,4080,425.531914893617
53,585000,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,98117,47.6989,-122.369,1480,6738,295.45454545454544
54,920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,98105,47.6571,-122.281,2730,6000,336.996336996337
55,885000,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,98105,47.6597,-122.29,1950,5000,312.7208480565371
56,292500,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,98042,47.3663,-122.11399999999999,2250,4500,130.0
57,301000,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,98042,47.3663,-122.12200000000001,2690,4750,124.3801652892562
59,430000,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,98059,47.5059,-122.149,2270,8542,232.43243243243242
60,650000,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,1959,98166,47.4336,-122.339,2570,18900,302.3255813953488
61,289000,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,98148,47.4366,-122.335,1290,8750,229.36507936507937
62,505000,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,98166,47.4428,-122.344,2500,9500,200.47637951568083
63,549000,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,98115,47.6765,-122.32,1580,3090,356.4935064935065
64,425000,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,98122,47.6113,-122.29700000000001,1440,4080,256.0240963855422
65,317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,98144,47.5747,-122.304,1440,4000,114.66606498194946
67,287000,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,98001,47.3378,-122.257,2221,4557,128.125
68,204000,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,98042,47.3621,-122.11,1010,12635,204.0
71,325000,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,98034,47.7362,-122.179,1640,4745,257.93650793650795
72,571000,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,98125,47.7168,-122.287,1510,7807,207.63636363636363
73,360000,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,98038,47.3608,-122.036,2420,5000,151.26050420168067
74,349000,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,98042,47.3511,-122.073,1940,50529,194.97206703910615
75,832500,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,98075,47.5822,-121.98700000000001,3240,35020,242.71137026239066
76,380000,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,98008,47.6034,-122.125,1680,7500,215.9090909090909
77,480000,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,98116,47.5636,-122.39399999999999,890,5060,461.53846153846155
78,410000,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,98133,47.7073,-122.34,1130,5693,290.78014184397165
79,720000,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,98010,47.342,-122.025,3350,39750,208.69565217391303
80,390000,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,98038,47.3512,-122.008,2350,5363,165.95744680851064
81,360000,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,98038,47.349,-122.031,1870,6405,189.47368421052633
82,355000,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,98118,47.5474,-122.291,1720,6720,175.74257425742573
83,356000,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,98059,47.4811,-122.149,1850,8797,211.9047619047619
84,315000,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,98125,47.7264,-122.31,1570,7203,328.125
86,305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,98092,47.2909,-122.189,1590,8165,114.66165413533835
87,461000,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,98056,47.5228,-122.199,1900,7349,166.4259927797834
88,215000,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,98056,47.518,-122.194,1950,2025,133.54037267080744
89,335000,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,98136,47.5394,-122.387,1030,1106,325.24271844660194
90,243500,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,98023,47.2897,-122.37200000000001,1980,7510,122.97979797979798
92,153000,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,98023,47.321999999999996,-122.351,1350,10500,127.5
93,430000,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,98117,47.687,-122.38600000000001,1570,4500,272.1518987341772
94,700000,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,98117,47.687,-122.38600000000001,1570,4500,443.0379746835443
95,905000,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,98040,47.5873,-122.249,1950,6045,274.24242424242425
96,247500,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,98032,47.3576,-122.277,1750,15616,126.27551020408163
97,199000,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,98023,47.3036,-122.37799999999999,1160,6400,171.55172413793105
98,314000,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,98038,47.4109,-121.958,1650,135036,173.48066298342542
99,437500,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,98045,47.4838,-121.714,2550,35065,188.57758620689654
100,850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,98102,47.6415,-122.315,2200,4500,411.0289855072464
101,555000,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,98117,47.6775,-122.37200000000001,1610,3478,280.3030303030303
102,699950,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,1983,98077,47.7731,-122.08,2570,47777,319.61187214611874
104,290000,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,98058,47.4375,-122.184,1640,14910,239.6694214876033
105,375000,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,98058,47.4431,-122.133,2250,8162,160.25641025641025
106,460000,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,98117,47.6878,-122.38,1240,4005,275.4491017964072
107,188500,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,98198,47.3813,-122.322,1270,4966,152.01612903225808
108,680000,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,1991,98077,47.7304,-122.08200000000001,2990,35001,216.56050955414014
109,470000,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,98052,47.6417,-122.109,2500,9433,231.5270935960591
110,597750,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,98027,47.5386,-122.053,1940,9636,258.76623376623377
111,570000,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,98103,47.6823,-122.34899999999999,1380,3536,452.3809523809524
112,272500,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,98038,47.3624,-122.031,1540,11656,176.94805194805195
113,329950,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,98108,47.5474,-122.295,2090,5500,158.62980769230768
114,480000,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2001,98001,47.3183,-122.25299999999999,2640,8517,148.60681114551085
115,740500,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1900,98117,47.6981,-122.368,1830,6350,169.06392694063928
116,518500,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,98103,47.6824,-122.34700000000001,1620,3166,326.1006289308176
117,205425,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,98178,47.5009,-122.24799999999999,1190,6780,233.4375
118,171800,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,98168,47.4965,-122.303,1880,9000,109.4267515923567
119,535000,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,98144,47.586999999999996,-122.294,1610,4040,332.29813664596276
120,660000,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,98177,47.7728,-122.38600000000001,2340,10856,275.0
121,391500,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,98034,47.7288,-122.226,1580,9104,270.0
122,395000,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,98117,47.6999,-122.36399999999999,1710,6000,512.987012987013
123,445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,98118,47.5299,-122.266,1850,4400,211.9047619047619
124,770000,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,98052,47.6897,-122.098,2700,13992,264.6048109965636
126,445000,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,98178,47.5091,-122.244,2660,8712,211.9047619047619
127,260000,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,98023,47.3129,-122.39,2090,8400,120.37037037037037
128,822500,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,98103,47.6763,-122.352,1700,4960,354.5258620689655
129,430000,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,2004,98065,47.5319,-121.85,1970,3748,207.72946859903382
130,212000,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,98092,47.2761,-122.152,1420,7680,200.0
131,660500,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,98027,47.5343,-122.054,2060,9793,328.60696517412936
132,784000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,98052,47.696999999999996,-122.072,2480,88500,198.48101265822785
133,453246,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,2014,98029,47.5517,-121.99799999999999,1690,1662,225.4955223880597
134,675000,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,98107,47.6734,-122.38,1540,2285,315.42056074766356
135,199000,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1956,98003,47.3257,-122.296,1550,19265,150.75757575757575
136,220000,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,98003,47.3309,-122.29899999999999,1750,8140,108.91089108910892
137,452000,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1968,98028,47.7689,-122.266,1550,10436,174.51737451737452
138,382500,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,98125,47.7135,-122.287,1060,5715,321.42857142857144
139,519950,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,98107,47.6722,-122.381,1350,1310,444.4017094017094
140,665000,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,98119,47.6338,-122.35799999999999,1170,3600,599.0990990990991
141,527700,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,98006,47.5707,-122.12799999999999,2820,9375,187.12765957446808
142,205000,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,98058,47.4563,-122.171,1610,8579,127.32919254658385
143,420000,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,98133,47.7144,-122.351,1560,7940,396.22641509433964
144,500000,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,98006,47.5495,-122.17399999999999,2230,8824,246.30541871921181
145,921500,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,1994,98077,47.7421,-122.02600000000001,2840,87991,251.0899182561308
146,890000,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,1905,98109,47.6354,-122.353,2200,4000,349.01960784313724
147,430000,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,2007,98027,47.5262,-121.943,1940,193842,177.68595041322314
148,258000,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1960,98032,47.3887,-122.286,1360,18000,114.15929203539822
149,511000,3,1.0,1430,3455,1.0,0,0,3,7,980,450,1947,98103,47.6873,-122.336,1450,4599,357.34265734265733
150,532170,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1990,98103,47.6838,-122.353,1500,3090,391.3014705882353
151,560000,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1947,98107,47.655,-122.359,1420,5000,504.5045045045045
152,282950,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1954,98003,47.3255,-122.304,1680,8633,226.36
154,350000,1,1.0,700,5100,1.0,0,0,3,7,700,0,1942,98115,47.678999999999995,-122.3,1010,5100,500.0
155,215000,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,98058,47.4479,-122.176,1190,7669,182.20338983050848
156,650000,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,1996,98056,47.525,-122.17200000000001,2640,13675,164.14141414141415
157,320000,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1967,98023,47.3135,-122.369,1980,7875,121.21212121212122
158,247000,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1916,98022,47.2086,-121.99600000000001,1160,7198,194.48818897637796
159,320000,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,98059,47.4715,-122.118,1730,11180,181.8181818181818
160,255000,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,98146,47.4877,-122.335,1010,11680,123.7864077669903
161,438000,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,98034,47.7171,-122.193,1200,9660,246.06741573033707
162,900000,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,2000,98075,47.6012,-122.023,3400,12601,264.70588235294116
163,441000,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1979,98034,47.7319,-122.22399999999999,1710,8152,230.89005235602093
164,420000,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,1975,98027,47.4582,-122.023,2110,36590,207.92079207920793
165,370000,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1976,98034,47.7209,-122.16799999999999,1640,7500,234.1772151898734
166,269950,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1949,98198,47.408,-122.32700000000001,1830,9750,201.455223880597
167,807100,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,98006,47.565,-122.125,2920,4500,301.15671641791045
168,653000,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,1979,98034,47.7028,-122.23100000000001,2480,8750,243.65671641791045
169,371500,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1964,98133,47.7458,-122.331,1770,7288,271.1678832116788
170,284000,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1954,98166,47.4776,-122.337,1070,7920,182.05128205128204
171,272000,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1978,98023,47.3026,-122.374,1930,7350,125.92592592592592
172,313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,98133,47.7658,-122.339,1480,7940,233.5820895522388
173,917500,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,1984,98033,47.6477,-122.182,3740,35230,236.46907216494844
174,673000,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,98006,47.5619,-122.125,2260,8335,259.8455598455598
175,425000,3,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,98122,47.6106,-122.31,1590,1795,379.4642857142857
176,399950,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1986,98144,47.5868,-122.30799999999999,1280,2150,203.0203045685279
177,385000,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1901,98122,47.6101,-122.307,1200,4800,315.57377049180326
178,269950,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,98022,47.1976,-121.999,1950,8941,138.43589743589743
179,330000,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1949,98177,47.7224,-122.35799999999999,1540,8280,244.44444444444446
180,260000,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1988,98030,47.3505,-122.179,1670,6183,155.688622754491
181,470000,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1925,98126,47.5384,-122.376,1410,5375,197.47899159663865
182,589000,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,1961,98034,47.7044,-122.2,2290,9600,241.39344262295083
183,163500,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1996,98038,47.3848,-122.039,1050,3417,155.71428571428572
184,835000,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,98052,47.6993,-122.102,2260,9984,266.77316293929715
186,269000,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,1969,98023,47.3099,-122.37899999999999,2190,8910,180.53691275167785
187,560000,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,1987,98074,47.62,-122.04299999999999,2030,8744,294.7368421052632
188,615000,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,1901,98103,47.65,-122.34,1330,4400,462.406015037594
189,585188,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,1975,98052,47.6647,-122.15299999999999,2230,9340,262.41614349775784
190,305000,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,1977,98034,47.726000000000006,-122.191,1540,8400,184.84848484848484
191,166950,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1959,98058,47.4616,-122.184,1230,7980,140.2941176470588
192,799000,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,98040,47.5505,-122.219,2680,10083,373.3644859813084
193,400000,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1962,98133,47.7606,-122.336,1900,7818,183.4862385321101
194,230000,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1948,98155,47.7481,-122.3,1570,10228,216.9811320754717
195,256883,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2003,98023,47.2779,-122.34700000000001,2550,5001,152.00177514792898
196,423000,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1920,98108,47.5511,-122.31200000000001,1500,6480,214.72081218274113
197,465000,3,2.5,2150,4084,2.0,0,0,3,8,2150,0,2007,98126,47.5488,-122.37200000000001,1750,2385,216.27906976744185
198,440000,3,2.5,1910,66211,2.0,0,0,3,7,1910,0,1997,98024,47.5385,-121.911,2330,67268,230.36649214659687
199,385000,3,1.75,1350,155073,1.0,0,0,4,7,1350,0,1969,98038,47.4058,-121.994,1560,50965,285.18518518518516
200,210000,3,1.0,860,11725,1.0,0,0,4,6,860,0,1943,98056,47.5093,-122.184,1300,9514,244.1860465116279
201,297000,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,1994,98042,47.3777,-122.165,2030,10450,153.09278350515464
202,470000,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1952,98107,47.675,-122.39399999999999,1680,5000,465.34653465346537
203,226500,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,98023,47.3025,-122.37,1430,7500,174.23076923076923
204,274250,3,1.0,910,8450,1.0,0,0,4,6,910,0,1962,98059,47.4787,-122.15799999999999,1400,8040,301.3736263736264
205,840000,4,1.75,2480,11010,1.0,0,0,4,9,1630,850,1966,98040,47.5378,-122.219,2770,10744,338.7096774193548
206,677900,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2010,98052,47.7073,-122.11399999999999,2750,4587,277.827868852459
207,425000,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,1915,98116,47.5733,-122.381,1290,5000,420.7920792079208
208,180250,2,0.75,900,9600,1.0,0,0,3,6,900,0,1941,98166,47.4604,-122.339,1250,14280,200.27777777777777
209,464000,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1920,98133,47.7067,-122.34299999999999,1560,1312,201.7391304347826
210,320000,4,2.25,1550,7579,2.0,0,0,3,8,1550,0,1993,98038,47.354,-122.04700000000001,1630,6397,206.4516129032258
211,625504,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,2014,98105,47.6647,-122.28399999999999,1160,1327,492.52283464566926
212,592500,4,2.5,2240,12032,1.0,0,0,3,9,2240,0,1983,98074,47.6143,-122.01700000000001,2520,12368,264.50892857142856
213,465000,3,2.5,2714,17936,2.0,0,0,3,9,2714,0,2005,98001,47.3185,-122.275,2590,18386,171.33382461311717
214,477000,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,1978,98118,47.5458,-122.26799999999999,2130,8700,277.3255813953488
215,280000,2,1.0,850,16400,1.0,0,0,3,6,850,0,1923,98168,47.4889,-122.29899999999999,1100,14459,329.4117647058824
217,445838,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,2000,98146,47.5133,-122.37899999999999,1320,5390,198.15022222222223
219,467000,2,1.5,1320,10800,1.0,0,0,4,8,1320,0,1947,98177,47.7145,-122.367,2120,12040,353.7878787878788
220,686000,4,2.5,2760,6440,2.0,0,0,3,10,2760,0,1999,98075,47.5836,-122.02600000000001,3070,8127,248.55072463768116
221,279950,3,2.0,1750,9750,1.0,0,0,3,7,1350,400,1961,98198,47.398,-122.29899999999999,1900,10125,159.97142857142856
222,527000,4,2.25,2330,19436,2.0,0,0,3,8,2330,0,1987,98011,47.7663,-122.215,1910,10055,226.1802575107296
223,325000,3,2.25,2220,16020,1.0,0,0,4,8,1780,440,1966,98030,47.3758,-122.21700000000001,2080,9583,146.3963963963964
224,328000,3,2.25,2020,8379,2.0,0,0,3,7,2020,0,1994,98038,47.3828,-122.023,2020,8031,162.37623762376236
225,390000,3,2.25,1250,7500,1.0,0,0,5,7,1250,0,1942,98146,47.5123,-122.37299999999999,1280,7392,312.0
226,479950,2,2.0,1510,6516,1.0,0,0,3,8,1510,0,2005,98053,47.7076,-122.01299999999999,1640,6009,317.8476821192053
227,264950,4,2.25,1720,9753,1.0,0,0,4,7,1120,600,1978,98023,47.2922,-122.37100000000001,1510,9753,154.0406976744186
